LocalGovernment,Amount,SpendingGroup,SpendingSubgroup,ProjectOverview,TreasuryEligibleUseGroup,TreasuryEligibleUseSubgroup,City_or_County,State
"Clackamas County, OR","$3,571",Government Operations Investments,Government Employee Wages Or Hiring,In general this project supports the COVID-19 emergency through supporting two staff members.,Public Health,"Payroll Costs for Public Health, Safety, and Other Public Sector Staff Responding to COVID-19",Clackamas County,OR
"Clark County, WA","$162,000",Government Operations Investments,Government Employee Wages Or Hiring,"In 2021, staff is working on the backlog of their regularly assigned duties, therefore, it is necessary to add a Program Manager II for 18 months to manage this funding.",Administrative,Administrative Expenses,Clark County,WA
"Clark County, WA","$2,500,000",Housing,Homelessness,Funding for additional housing and support costs for existing permanent supportive housing programs.,Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Clark County,WA
"Clark County, WA","$2,500,000",Housing,Homelessness,Funding for additional rent assistance and housing support for existing rapid rehousing programs that serve persons currently experiencing homelessness.,Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Clark County,WA
"Clark County, WA","$300,000",Housing,Homelessness,Funding for continued rental and housing supports for unhoused persons currently enrolled in a Housing and Essential Needs (HEN) pilot for which funding is currently slated to end on 06/30/21.,Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Clark County,WA
"Clark County, WA","$5,000,000",Housing,Homelessness,"Funding for increased congregate and non-congregate shelters, support for shelters, and mitigation of increased permanent supportive housing costs for chronically homeless persons.",Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Clark County,WA
"Clark County, WA","$800,000",Housing,Homelessness,Funding for motel vouchers to increase indoor shelter bed capacity in the county along with increased staffing and operations support necessary to maintain adequate services for people sheltered in motels.,Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Clark County,WA
"Clark County, WA","$4,400,000",Housing,Homelessness,"Funding to increase the size, availability, coordination, and supports provided by homeless outreach teams in Clark County for a period of 2 years [Clark County, Washington] 2021 Recovery Plan Performance Report 16 as well as provide flexible funds to be available for homeless outreach teams to provide housing barrier removal services, permanent housing placement support (such as move-in costs) and essential services that promote health and safety",Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Clark County,WA
"Clark County, WA","$7,679,000",Infrastructure,Cyber Security,"Information Technology requested $8,745,000 in ARPA funds, and equal budget spend authority, to complete a full refresh of the Clark County network infrastructure in order to increase cybersecurity, support remote operations due to ongoing pandemic response, and increase capacity for equitable access to government eservices being performed remotely, ensuring secure access for all community members.",Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Clark County,WA
"Cobb County, GA","$1,575,000",Community Aid,Nutrition And Food Assistance,Food assistance for Cobb citizens continues to be an urgent need. Providing this assistance will alleviate some of the economic and emotional tolls on the families in need.,Negative Economic Impacts,Household Assistance: Food Programs,Cobb County,GA
"Cobb County, GA","$1,778,429",Government Operations Investments,Government Employee Wages Or Hiring,"To create positions and extend temporary positions to reduce the COVID-19 pandemic related case backlog, assist with Mediation and to serve as a critical bridge between tenants most at risk for eviction, the landlords that need aid and the approved County Service Providers charged with administering the Emergency Rental Assistance Program.",Public Health,"Payroll Costs for Public Health, Safety, and Other Public Sector Staff Responding to COVID-19",Cobb County,GA
"Cobb County, GA","$840,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","A multi-purpose courtroom will be built on the fourth floor with a holding cell. This room can also be utilized for bench trials, public viewing areas, jury deliberation room and a meeting room.",Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Cobb County,GA
"Cobb County, GA","$492,800",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","In order to handle increased demands of the Estates Division and to meet the current health guidelines, it is necessary to reconfigure the second courtroom to use as a nonjury courtroom.",Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Cobb County,GA
"Cobb County, GA","$625,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","In order to meet tight statutory timelines and maintain adherence to public health guidelines, the renovation for Magistrate court consists of two courtrooms. The renovation also includes the reconfiguration of spaces with the Clerk’s office and mediation areas to fully allow for social distancing and the protection of Cobb citizens and staff.",Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Cobb County,GA
"Cobb County, GA","$1,125,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","In order to more timely resolve the current backlog, an additional courtroom is needed to conduct more than two jury trials simultaneously while allowing for remaining courtrooms to conduct non-jury matters.",Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Cobb County,GA
"Cobb County, GA","$875,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",There is existing unfinished space for an additional grand jury room which will allow for the necessary precautions and the room will be renovated to allow for grand jury proceedings.,Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Cobb County,GA
"Collier County, FL","$1,500,000",Community Aid,Nonprofit Support,"This project will provide $1.5 million for support services for socially vulnerable individuals and families served by not for profits impacted by COVID-19, older adults, individuals with disabilities and their caregivers, individuals and families at risk of homelessness or experiencing homelessness, and victims of domestic violence and sexual assault.",Negative Economic Impacts,Aid to Nonprofit Organizations,Collier County,FL
"Collier County, FL","$5,115,000",Community Aid,Nutrition And Food Assistance,"This project addresses food access, affordability, and infrastructure for healthy, fresh food.",Negative Economic Impacts,Household Assistance: Food Programs,Collier County,FL
"Collier County, FL","$561,490",Community Aid,Nutrition And Food Assistance,"This project consists of recreating a citrus grove and homestead garden at Immokalee Pioneer Museum, serving QCTs 112.04, 112.05, 113.01, 113.02, and 114.00, to build healthier environments that flow through as education and food to disadvantaged youth in Immokalee.",Services to Disproportionately Impacted Communities,Social Determinants of Health: Other,Collier County,FL
"Collier County, FL","$2,246,071",Community Aid,Other Community Aid,"This project involves nutrition education, healthy food purchases and cooking activities; family financial education; hands on gardening and landscape programs; and youth development life skills/leadership acquisition activities for underserved residents.",Services to Disproportionately Impacted Communities,Social Determinants of Health: Other,Collier County,FL
"Collier County, FL","$2,671,850",Community Aid,Youth And Family Support,"The COLE [community Outreach, Literacy, & Education] Project will provide educational sessions at the Golden Gate and Immokalee libraries, both serving QCT populations.",Services to Disproportionately Impacted Communities,Education Assistance: Aid to High-Poverty Districts,Collier County,FL
"Collier County, FL","$5,500,000",Economic And Workforce Development,Small Business Support,"The small business recovery project will provide grants of up to $25,000, for Economic Injury Disaster Loan (EIDL) forgiveness or utility (e.g., water, garbage, electric, internet) bill in arrears payments.",Negative Economic Impacts,Aid to Other Impacted Industries,Collier County,FL
"Collier County, FL","$1,000,000",Economic And Workforce Development,Small Business Support,"This project will provide $1 million to Collier County small businesses that were adversely impacted by COVID-19, to include reimbursement for business software upgrades, digital marketing, and business resilience and strategic planning counseling.",Negative Economic Impacts,Small Business Economic Assistance (General),Collier County,FL
"Collier County, FL","$335,066",Economic And Workforce Development,Tourism And Hospitality,This project will support increased tourism – a major industry in Collier County – through promotion of the five free Collier County museums.,Negative Economic Impacts,"Aid to Tourism, Travel,or Hospitality",Collier County,FL
"Collier County, FL","$408,000",Government Operations Investments,Government Employee Wages Or Hiring,"For these heroic efforts, Collier County will be providing a one-time, $2,000 bonus to each EMS employee for services rendered between March 2020 and the initiation of this award cycle.",Premium Pay,Public Sector Employees,Collier County,FL
"Collier County, FL","$5,250,000",Government Operations Investments,Government Employee Wages Or Hiring,"This project covers staff and consultant activities dedicated to ensuring program compliance, monitoring, auditing, and administration.",Administrative,Administrative Expenses,Collier County,FL
"Collier County, FL","$20,246,770",Government Operations Investments,Government Employee Wages Or Hiring,This project will cover costs incurred by Collier County Emergency Medical Services and Human Services to cover payroll and benefits of employees responding to COVID-19.,Public Health,"Payroll Costs for Public Health, Safety, and Other Public Sector Staff Responding to COVID-19",Collier County,FL
"Collier County, FL","$2,901,544",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",The library collection enhancement project will build up the print and audio-visual collections of the QCT libraries in Immokalee and Northern Golden Gate.,Services to Disproportionately Impacted Communities,Education Assistance: Other,Collier County,FL
"Collier County, FL","$600,000",Government Operations Investments,Other Government Investment,"This project will create the systems and evaluation processes to assist Collier County ARP projects to measure impact transparently and with a focus on efficacy, equity, and efficiency.",Administrative,Evaluation and Data Analysis,Collier County,FL
"Collier County, FL","$525,000",Housing,Eviction Prevention,"An eviction mediator and eviction liaison will be provided, who will assist residents to negotiate payment plans and other means of avoiding loss of housing.",Negative Economic Impacts,Household Assistance: Eviction Prevention,Collier County,FL
"Collier County, FL","$7,500,000",Housing,Rental Assistance,"The program will provide up to 15 months’ rent or mortgage (including payments for housing in arrears or prospective) with a maximum of $25,000.",Negative Economic Impacts,"Household Assistance: Rent, Mortgage, and Utility Aid",Collier County,FL
"Collier County, FL","$1,455,910",Infrastructure,Broadband,The Tech to Go project will make 200 Verizon Jetpack WiFi hotspots available for check-out at Collier QCT libraries in Immokalee and Northern Golden Gate.,Services to Disproportionately Impacted Communities,Education Assistance: Aid to High-Poverty Districts,Collier County,FL
"Collier County, FL","$3,871,000",Infrastructure,Sewer And Water,"The project will recover, reclaim, and enhance three unmaintained lakes currently in derelict condition to convert them into stormwater management areas.",Infrastructure,Clean Water: Stormwater,Collier County,FL
"Collier County, FL","$2,300,000",Infrastructure,Sewer And Water,"This project involves the reconstruction of two neighborhood streets, using green infrastructure such as swales, to reduce flooding in the Brookside neighborhood of Collier County.",Infrastructure,Clean Water: Stormwater,Collier County,FL
"Collier County, FL","$3,000,000",Infrastructure,Sewer And Water,"This project seeks to improve water quality, and upgrade stormwater management systems in the Lake Trafford Road Corridor – QCT 113.01. It will use green infrastructure, such as swales.",Infrastructure,Clean Water: Stormwater,Collier County,FL
"Collier County, FL","$2,000,000",Public Health,Covid Response,This project covers personal safety equipment needed by Collier County first line responders healthcare operations throughout Collier County.,Public Health,Personal Protective Equipment,Collier County,FL
"Collier County, FL","$5,500,000",Public Health,Mental Health,This project will provide $5.5 million for mental health services to individuals in Collier County.,Public Health,Mental Health Services,Collier County,FL
"Collier County, FL","$275,000",Public Health,Other Public Health,"This project will provide numerous health services to improve health outcomes for associated co-morbidities with COVID-19, including primary and urgent care for low-income Collier residents, medication therapy management, diabetes and endocrine care, and other public health services.",Public Health,Other Public Health Services,Collier County,FL
"Collin County, TX","$54,841,679",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","This project allocates ARPA funding for construction of a new Health Care Services building and parking garage to establish the capacity for a vaccination hub and provides sufficient operational, storage, meeting and office space to meet the community’s incremental public health needs, which have occurred as a result of the COVID‐19 pandemic. ",Public Health,COVID-19 Vaccination,Collin County,TX
"Collin County, TX","$134,000,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","This project encompasses the construction of a specialized medical and mental health infirmary of approximately 450 beds at the Collin County Adult Detention Center, as well as capital investments in directly related ancillary infrastructure needed to support the infirmary.   ",Public Health,"Prevention in Congregate Settings (Nursing  Homes, Prisons/Jails, Dense Work Sites, Schools, etc.)",Collin County,TX
"Collin County, TX","$12,034,064",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",This project uses ARPA funding for construction of a new Medical Examiner building.  The Medical Examiner is directly engaged in matters related to public health and provides a public health support service that is essential for care of the deceased.,Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Collin County,TX
"Colorado Springs, CO","$652,000",Community Aid,Youth And Family Support,"Provide funding for Parks, Recreation, and Cultural Services staff to support afterschool and summer programs for underserved populations. Funding will be utilized to expand existing programs, offering childcare through afterschool and summer programs",Services to Disproportionately Impacted Communities,Healthy Childhood Environments: Child Care,Colorado Springs,CO
"Colorado Springs, CO","$1,500,000",Community Aid,Youth And Family Support,Provide funding in partnership with United Way and Harrison School District #2 to implement a Family Success Center in southeast Colorado Springs,Revenue Replacement,Provision of Government Services,Colorado Springs,CO
"Colorado Springs, CO","$6,000,000",Economic And Workforce Development,Other Economic And Workforce Development,"Funding for business recovery, economic incentives, and job creation. The funding will be made available through a subrecipient yet to be determined",Negative Economic Impacts,Small Business Economic Assistance (General),Colorado Springs,CO
"Colorado Springs, CO","$1,000,000",Economic And Workforce Development,Small Business Support,"Funding to provide economic support for business recovery. The funding will be made available through the SBDC, Survive and Thrive, and the El Paso County Business Recovery Program",Negative Economic Impacts,Small Business Economic Assistance (General),Colorado Springs,CO
"Colorado Springs, CO","$1,000,000",Economic And Workforce Development,Tourism And Hospitality,Funding will be made available to address negative impacts on Tourism due to the COVID-19 pandemic through partnerships through the City's Lodgers and Automobile Rental Tax (LART) committee,Negative Economic Impacts,"Aid to Tourism, Travel,or Hospitality",Colorado Springs,CO
"Colorado Springs, CO","$3,500,000",Economic And Workforce Development,Tourism And Hospitality,Provide funding to the United States Olympic and Paralympic Museum (USOPM) to aid in tourism recovery,Negative Economic Impacts,"Aid to Tourism, Travel,or Hospitality",Colorado Springs,CO
"Colorado Springs, CO","$2,500,000",Economic And Workforce Development,Workforce Development,Assistance to University of Colorado Colorado Springs (UCCS) and Pikes Peak Community College (PPCC) for targeted degree programs providing job training to individuals or industries impacted by the COVID-19 pandemic,Negative Economic Impacts,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Colorado Springs,CO
"Colorado Springs, CO","$4,268,416",Government Operations Investments,Government Employee Wages Or Hiring,Implement mid-year compensation increases for City employees which was foregone in the 2021 budget due to economic conditions.,Revenue Replacement,Provision of Government Services,Colorado Springs,CO
"Colorado Springs, CO","$1,500,000",Government Operations Investments,Government Employee Wages Or Hiring,Payroll and benefits associated with City public health and safety units substantially dedicated to COVID-19 response,Public Health,"Payroll Costs for Public Health, Safety, and Other Public Sector Staff Responding to COVID-19",Colorado Springs,CO
"Colorado Springs, CO","$250,000",Government Operations Investments,Government Employee Wages Or Hiring,Payroll and benefits associated with City public safety units dedicated to COVID19 vaccination assistance,Public Health,COVID-19 Vaccination,Colorado Springs,CO
"Colorado Springs, CO","$2,243,955",Government Operations Investments,Government Employee Wages Or Hiring,"Provide premium pay to public safety staff, considered critical to pandemic response",Premium Pay,Public Sector Employees,Colorado Springs,CO
"Colorado Springs, CO","$7,461,761",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Provide funding for City capital projects, facilities maintenance, security projects. Projects will be prioritized by a city-wide committee",Revenue Replacement,Provision of Government Services,Colorado Springs,CO
"Colorado Springs, CO","$2,500,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",Provide funding to renovate the City Auditorium in collaboration with the Colorado Springs Conservatory to serve as an art and event space in the City’s downtown. The City Auditorium is a City owned facility which has recently been functioning as a COVID-19 isolation shelter for individuals experiencing homelessness,Revenue Replacement,Provision of Government Services,Colorado Springs,CO
"Colorado Springs, CO","$1,000,000",Infrastructure,Broadband,"Provide funding to develop and implement strategic fiber-based projects, identifying broadband goals to connect unserved and underserved areas of the City",Infrastructure,Broadband: Other projects,Colorado Springs,CO
"Colorado Springs, CO","$8,000,000",Infrastructure,Public Space,"Provide capital investment for construction of a new senior center, increasing services and support to seniors",Revenue Replacement,Provision of Government Services,Colorado Springs,CO
"Colorado Springs, CO","$1,800,000",Infrastructure,Public Space,"Provide capital investment to Meadows Park, Hillside, and Westside Community Centers to better serve communities in areas impacted by marginalized socioeconomic conditions",Revenue Replacement,Provision of Government Services,Colorado Springs,CO
"Colorado Springs, CO","$3,000,000",Infrastructure,Sewer And Water,Funding to support implementing stormwater related components of the 30th Street improvement project. The project in its entirety will significantly reduce traffic and congestion as visitors enter and exit Garden of the Gods Park.,Infrastructure,Clean Water: Stormwater,Colorado Springs,CO
"Colorado Springs, CO","$3,960,000",Infrastructure,Sewer And Water,"Implementation/replacement of irrigation system to support water conservation efforts at City Cemeteries. This project will support modernization of the aged system, resulting in water application efficiency with a goal of achieving increased water sustainability",Infrastructure,Clean Water: Energy Conservation,Colorado Springs,CO
"Colorado Springs, CO","$2,800,000",Infrastructure,Sewer And Water,"Implementation/replacement of irrigation system to support water conservation efforts at Valley Hi Golf Course. This project will support modernization of the aged system, resulting in water application efficiency with a goal of achieving increased water sustainabilit",Infrastructure,Clean Water: Energy Conservation,Colorado Springs,CO
"Colorado Springs, CO","$3,800,000",Infrastructure,Sewer And Water,"Implementation/replacement of the irrigation system at Patty Jewett Golf Course. This project will support modernization of the aged system, resulting in water application efficiency with a goal of achieving increased water sustainability",Infrastructure,Clean Water: Energy Conservation,Colorado Springs,CO
"Colorado Springs, CO","$8,300,000",Infrastructure,Sewer And Water,Provide partial support to a network of underground storm sewer systems capable of accommodating redevelopment identified in the North Nevada Corridor Master Plan,Infrastructure,Clean Water: Stormwater,Colorado Springs,CO
"Colorado Springs, CO","$3,500,000",Infrastructure,Sewer And Water,"Replace aging water main ahead of PPRTA funded project, S. Academy Blvd - Fountain to Drennan",Infrastructure,Drinking water: Transmission & Distribution,Colorado Springs,CO
"Colorado Springs, CO","$503,000",Infrastructure,Sewer And Water,"Replace irrigation systems at South Monument Valley Park, Otis Park, and Fine Arts Triangle Monument Valley Park. This project will support modernization of the aged system, resulting in water application efficiency with a goal of achieving increased water sustainability",Infrastructure,Clean Water: Energy Conservation,Colorado Springs,CO
"Colorado Springs, CO","$5,000,000",Public Safety,Other Public Safety,"Provide funding to implement a new Computer Aided Dispatch system, which will resolve redundant data entry and to make it possible to access real-time information, ultimately enhancing the overall public safety response to the Colorado Springs community",Revenue Replacement,Provision of Government Services,Colorado Springs,CO
"Columbus, OH","$9,077,767",Community Aid,Youth And Family Support,"Youth Programming is designed to provide access to educational and social activities, job training, and violence prevention programs for Columbus youth, who were one of the populations experiencing the most negative impacts of the COVID19 pandemic",Services to Disproportionately Impacted Communities,Healthy Childhood Environments: Other,Columbus,OH
"Columbus, OH","$765,830",Public Health,Covid Response,The Public Health Project is designed to incentivize Columbus residents who have otherwise not received the vaccination through the distribution of $100 giftcards at community vaccination clinics.,Public Health,COVID-19 Vaccination,Columbus,OH
"Contra Costa County, CA","$67,200,000",Public Health,Covid Response,"Project 1 will fund a broad range of services and programming for the prevention and ongoing response to COVID-19. All project activities will be ongoing throughout the FY21-22 project period and focus on maintaining, improving and expanding testing, vaccination, contact tracing/case investigation, public health epidemiology, communication with the public and purchase and distribution of PPE.",Public Health, ,Contra Costa County,CA
"Contra Costa County, CA","$22,400,000",Public Health,Covid Response,The intended outcome of this project is to maintain and improve CCHS’s delivery system to better respond to the medical and behavioral health needs of patients and residents impacted by COVID-19.,Public Health, ,Contra Costa County,CA
"Contra Costa County, CA","$22,400,000",Public Health,Other Public Health,"The COVID-19 pandemic has disproportionally impacted communities of color, low-wage essential workers, and other historically disadvantaged populations. This project addresses CCHS’s ability to effectively monitor and respond to these disparities and work closely with our community partners and the public to improve the design and execution of public health programs and outcomes.",Public Health, ,Contra Costa County,CA
"Corpus Christi, TX","$100,000",Economic And Workforce Development,Economic Development,Downtown Outdoor Dining Development, , ,Corpus Christi,TX
"Corpus Christi, TX","$30,000,000",Infrastructure,Sewer And Water,The City is currently replacing and upgrading various water lines throughout the City in an effort to improve the health of the system. This project will make necessary and important improvements to the City’s water system., , ,Corpus Christi,TX
"Corpus Christi, TX","$18,400,000",Infrastructure,Sewer And Water,"The Williams, Woolridge, and Morgan wastewater lift stations are to be upgraded to ensure they are operating as designed and to improve capacity and function", , ,Corpus Christi,TX
"Corpus Christi, TX","$15,000,000",Infrastructure,Sewer And Water,This project will rehabilitate and/or replace aging storm water infrastructure, , ,Corpus Christi,TX
"Corpus Christi, TX","$4,050,000",Public Safety,Fire Department,Construction of Fire Station #3, , ,Corpus Christi,TX
"Dallas, TX","$2,600,000",Community Aid,Nonprofit Support,Small grants to nonprofit organizations to mitigate negative financial impact from pandemic, , ,Dallas,TX
"Dallas, TX","$2,000,000",Community Aid,Nutrition And Food Assistance,Home garden kits enable homebound individuals to grow healthy produce items to supplement diets, , ,Dallas,TX
"Dallas, TX","$2,400,000",Community Aid,Nutrition And Food Assistance,Support of various food distribution programs throughout the City, , ,Dallas,TX
"Dallas, TX","$800,000",Community Aid,Nutrition And Food Assistance,Support to local food banks to help keep shelves stocked and able to serve clients in need, , ,Dallas,TX
"Dallas, TX","$800,000",Community Aid,Other Community Aid,Expanding free tax preparation service availability and supplementing and strengthening year-round tax guidance, , ,Dallas,TX
"Dallas, TX","$300,000",Community Aid,Other Community Aid,Financial Navigators help guide residents in need through complicated financial services landscape to find programming and services than can support their unique needs, , ,Dallas,TX
"Dallas, TX","$2,750,000",Community Aid,Other Community Aid,"Following best practice model of Benefits Trust, a single stop opportunity integrating benefits access and application to simplify process for clients", , ,Dallas,TX
"Dallas, TX","$1,000,000",Community Aid,Youth And Family Support,"Critical non-food items, such hygiene products, diapers, period products, adult diapers, for distribution to high need communities", , ,Dallas,TX
"Dallas, TX","$3,250,000",Community Aid,Youth And Family Support,"Positive youth development programming, such as afterschool programming, academic support, and training", , ,Dallas,TX
"Dallas, TX","$1,000,000",Economic And Workforce Development,Small Business Support,Small grants to childcare providers to mitigate negative financial impact from pandemics, , ,Dallas,TX
"Dallas, TX","$250,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Additional officing for ERA and ARPA staff, potential facility with Highland Hills community", , ,Dallas,TX
"Dallas, TX","$200,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",Explore opportunities to integrate enhanced contract management and reporting via current or new contract management system software, , ,Dallas,TX
"Dallas, TX","$100,000",Government Operations Investments,Other Government Investment,"Project based support for service design improvements related to database development and management, contract management, program workflow", , ,Dallas,TX
"Dallas, TX","$200,000",Government Operations Investments,Other Government Investment,"System to manage client progress, client and partner contacts, create and management client and communication lists, etc.", , ,Dallas,TX
"Dallas, TX","$2,400,000",Public Health,Mental Health,"Community Mental Health programming, including individual counseling, group counseling and mental health outreach and education", , ,Dallas,TX
"Dallas, TX","$1,200,000",Public Health,Mental Health,Individual counseling and group counseling services targeting highly impacted communities, , ,Dallas,TX
"Dallas, TX","$750,000",Public Health,Mental Health,"Services targeting older adults, particularly homebound seniors", , ,Dallas,TX
"Dallas, TX","$2,000,000",Public Health,Other Public Health,"Home visiting services to homes of newborns, proven to promote safety and improve infant health outcomes", , ,Dallas,TX
"Dallas, TX","$2,250,000",Public Safety,Violence Reduction And Prevention,"Treatment, counseling and other services for prevention, including near-fatality prediction/prevention, and intervention of family violence", , ,Dallas,TX
"Dane County, WI","$1,000,000",Community Aid,Arts And Culture,The county will use $1 million of ARP funds to assist local artists who were negatively impacted by the pandemic., , ,Dane County,WI
"Dane County, WI","$5,000,000",Community Aid,Nonprofit Support,MCF will manage a grant program to award funds to local non‐profits that experienced a reduction in revenue or increased expenses as a result of the COVID‐19 pandemic in 2020., , ,Dane County,WI
"Dane County, WI","$10,000,000",Community Aid,Nutrition And Food Assistance,The county will use ARP funds to continue its support of the Second Harvest Food Bank to address the growth in food insecurity caused by the pandemic. , , ,Dane County,WI
"Dane County, WI","$2,000,000",Community Aid,Other Community Aid,"The county will use $2 million to assist the Badger Prairie Needs Network, Inc. to expand its facility.  ", , ,Dane County,WI
"Dane County, WI","$5,000,000",Community Aid,Other Community Aid,The county will use $5 million of ARP funds to make grants to local community organizations that provide direct assistance to low income households., , ,Dane County,WI
"Dane County, WI","$15,000,000",Economic And Workforce Development,Small Business Support,"The county will use ARP funds to assist local small businesses through a partnership with Dane Buy Local, Inc (DBL).", , ,Dane County,WI
"Dane County, WI","$1,035,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT"," In order to improve safety for attendees of events at the center, the county will invest approximately $1,035,000 for the installation of ionization air purification equipment at the various buildings at the campus.  ", , ,Dane County,WI
"Dane County, WI","$4,000,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","These investments will allow for the upgrade of county meeting rooms to facilitate hybrid meetings, fund licenses for Zoom meetings, offset costs for cybersecurity upgrades, purchase equipment to facilitate hybrid work arrangements, and the cost of an information technology staff position.", , ,Dane County,WI
"Dane County, WI","$13,200,000",Housing,Homelessness,The county will use an estimated $13.2 million over two years to launch and maintain a rehousing initiative to transition households experiencing [homelessness] into permanent housing through concerted case management services and rental subsidies.  , , ,Dane County,WI
"Dane County, WI","$2,400,000",Housing,Homelessness,"The effort involves renting lodging rooms in local facilities, providing food, medical isolation, security and case management. ", , ,Dane County,WI
"Dane County, WI","$5,000,000",Infrastructure,Broadband,The county has allocated $5 million to improve broadband access in accordance with the guidelines in Treasury’s interim final rule., , ,Dane County,WI
"Dane County, WI","$1,200,000",Public Health,Covid Response,The county will apply approximately $1.2 million to establish a COVID isolation unit [at Badger Prairie Healthcare Center nursing facility]., , ,Dane County,WI
"Dane County, WI","$1,300,000",Public Health,Mental Health,The county will use $1.3 million to award grants to local school districts to augment district resources available to address mental health challenges experienced by students as a result of the COVID pandemic., , ,Dane County,WI
"Davis County, UT","$291,917",Government Operations Investments,Government Employee Wages Or Hiring,"Davis County intends to utilize SLFRF to fund three new attorneys and associated support staff to manage the new caseload. The funding referenced above is expected to provide for wages, benefits, and equipment for the new positions through the remainder of 2021.",Public Health,"Payroll Costs for Public Health, Safety, and Other Public Sector Staff Responding to COVID-19",Davis County,UT
"Davis County, UT","$74,833",Government Operations Investments,Government Employee Wages Or Hiring,"Davis County intends to utilize SLFRF to fund two new case manager positions. The funding referenced above is expected to fund wages, benefits, and equipment for these positions through the remainder of 2021.",Public Health,"Payroll Costs for Public Health, Safety, and Other Public Sector Staff Responding to COVID-19",Davis County,UT
"Davis County, UT","$158,667",Government Operations Investments,Government Employee Wages Or Hiring,"The funding listed above is expected to fund contracts, wages and benefits through the remainder of 2021.",Public Health,"Payroll Costs for Public Health, Safety, and Other Public Sector Staff Responding to COVID-19",Davis County,UT
"Davis County, UT","$7,878,529",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","As such, Davis County intends to use SLFRF funds utilizing a pay-go approach for the remaining expenses associated with the Jail Medical Wing. The County will in no instance utilize SLFRF to pay interest or principal on outstanding debt.",Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Davis County,UT
"Davis County, UT","$1,000,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Recognizing this need, as well as the anticipated ongoing demand for booster vaccinations, the County allocated $1,000,000 of SLFRF to renovate existing space in the DCHD Administration Building, acquire property adjacent to the DCHD Administration Building and construct additional parking.",Public Health,COVID-19 Vaccination,Davis County,UT
"Davis County, UT","$403,516",Public Health,Covid Response,"The County will be utilizing SLFRF to pay the Legacy Event Center for rental fees from March 3, 2021, through July 2, 2021. The total rental fee for that period is $403,516 and classified utilizing expense category 1.1 COVID19 Vaccination.",Public Health,COVID-19 Vaccination,Davis County,UT
"Denver, CO","$43,678,099",Government Operations Investments,Fiscal Health Recovery,"Restoration of mission-critical positions, goods and supplies eliminated through prior budget reductions; elimination of furlough days originally required of City employees in 2021.",Revenue Replacement,Provision of Government Services,Denver,CO
"Denver, CO","$2,383,089",Government Operations Investments,Government Employee Wages Or Hiring,Addresses severe workload increases driven by backlogs or other demands on City services.,Revenue Replacement,Provision of Government Services,Denver,CO
"Denver, CO","$35,007",Government Operations Investments,Government Employee Wages Or Hiring,Position to support data analysis,Administrative,Evaluation and Data Analysis,Denver,CO
"Denver, CO","$114,448",Government Operations Investments,Government Employee Wages Or Hiring,Positions to support the financial administration of ARPA funding and communications support,Administrative,Administrative Expenses,Denver,CO
"DuPage County, IL","$15,000,000",Economic And Workforce Development,Small Business Support,"ReInvest DuPage is a grant relief program designed to assist businesses, independent contractors, and nonprofits within DuPage County, who have been adversely impacted by COVID-19.",Negative Economic Impacts,Small Business Economic Assistance (General),DuPage County,IL
